"","Spell","Rune"
"4730","Jungle Fortitude","Passive"
"4731","Locust Swarm","Pestilence"
"4732","Haunt","Resentful Spirits"
"4733","Piranhas","Piranhado"
"4734","Spirit Walk","Jaunt"
"4735","Soul Harvest","Siphon"
"4736","Horrify","Frightening Aspect"
"4737","Creeping Death","Passive"
"4738","Gruesome Feast","Passive"
"4739","Grave Injustice","Passive"
"4740","Spirit Vessel","Passive"
"4741","Plague of Toads","Rain of Toads"
"4742","Spirit Walk","Jaunt"
"4743","Fetish Army","Legion of Daggers"
"4744","Piranhas","Frozen Piranhas"
"4745","Big Bad Voodoo","Slam Dance"
"4746","Summon Zombie Dogs","Leeching Beasts"
"4747","Fetish Sycophants","Passive"
"4748","Midnight Feast","Passive"
"4749","Spirit Vessel","Passive"
"4750","Pierce the Veil","Passive"
"4751","Piranhas","Frozen Piranhas"
"4752","Gargantuan","Wrathful Protector"
"4753","Big Bad Voodoo","Slam Dance"
"4754","Spirit Walk","Jaunt"
"4755","Fetish Army","Tiki Torchers"
"4756","Summon Zombie Dogs","Burning Dogs"
"4757","Pierce the Veil","Passive"
"4758","Zombie Handler","Passive"
"4759","Grave Injustice","Passive"
"4760","Midnight Feast","Passive"
"4761","Locust Swarm","Devouring Swarm"
"4762","Piranhas","Piranhado"
"4763","Horrify","Stalker"
"4764","Haunt","Resentful Spirits"
"4765","Spirit Walk","Jaunt"
"4766","Soul Harvest","Siphon"
"4767","Spirit Vessel","Passive"
"4768","Pierce the Veil","Passive"
"4769","Grave Injustice","Passive"
"4770","Creeping Death","Passive"
"4771","Plague of Toads","Rain of Toads"
"4772","Sacrifice","Provoke the Pack"
"4773","Big Bad Voodoo","Boogie Man"
"4774","Fetish Army","Legion of Daggers"
"4775","Spirit Walk","Jaunt"
"4776","Horrify","Face of Death"
"4777","Gruesome Feast","Passive"
"4778","Fetish Sycophants","Passive"
"4779","Zombie Handler","Passive"
"4780","Spirit Vessel","Passive"
"4781","Haunt","Resentful Spirits"
"4782","Locust Swarm","Pestilence"
"4783","Piranhas","Piranhado"
"4784","Soul Harvest","Siphon"
"4785","Spirit Walk","Jaunt"
"4786","Horrify","Frightening Aspect"
"4787","Pierce the Veil","Passive"
"4788","Grave Injustice","Passive"
"4789","Spirit Vessel","Passive"
"4790","Creeping Death","Passive"
"4791","Plague of Toads","Rain of Toads"
"4792","Piranhas","Frozen Piranhas"
"4793","Spirit Walk","Jaunt"
"4794","Summon Zombie Dogs","Leeching Beasts"
"4795","Big Bad Voodoo","Slam Dance"
"4796","Fetish Army","Legion of Daggers"
"4797","Pierce the Veil","Passive"
"4798","Fetish Sycophants","Passive"
"4799","Midnight Feast","Passive"
"4800","Zombie Handler","Passive"
"4801","Haunt","Resentful Spirits"
"4802","Spirit Walk","Jaunt"
"4803","Locust Swarm","Pestilence"
"4804","Piranhas","Piranhado"
"4805","Soul Harvest","Vengeful Spirit"
"4806","Horrify","Face of Death"
"4807","Pierce the Veil","Passive"
"4808","Grave Injustice","Passive"
"4809","Creeping Death","Passive"
"4810","Spirit Vessel","Passive"
"4811","Locust Swarm","Pestilence"
"4812","Haunt","Resentful Spirits"
"4813","Spirit Walk","Jaunt"
"4814","Soul Harvest","Siphon"
"4815","Summon Zombie Dogs","Leeching Beasts"
"4816","Piranhas","Piranhado"
"4817","Pierce the Veil","Passive"
"4818","Spirit Vessel","Passive"
"4819","Jungle Fortitude","Passive"
"4820","Grave Injustice","Passive"
"4821","Plague of Toads","Rain of Toads"
"4822","Big Bad Voodoo","Slam Dance"
"4823","Spirit Walk","Healing Journey"
"4824","Soul Harvest","Vengeful Spirit"
"4825","Piranhas","Piranhado"
"4826","Fetish Army","Legion of Daggers"
"4827","Grave Injustice","Passive"
"4828","Fetish Sycophants","Passive"
"4829","Pierce the Veil","Passive"
"4830","Gruesome Feast","Passive"
"4831","Plague of Toads","Rain of Toads"
"4832","Sacrifice","Provoke the Pack"
"4833","Spirit Walk","Jaunt"
"4834","Horrify","Face of Death"
"4835","Big Bad Voodoo","Slam Dance"
"4836","Fetish Army","Legion of Daggers"
"4837","Pierce the Veil","Passive"
"4838","Grave Injustice","Passive"
"4839","Spirit Vessel","Passive"
"4840","Fetish Sycophants","Passive"
"4841","Plague of Toads","Rain of Toads"
"4842","Piranhas","Frozen Piranhas"
"4843","Spirit Walk","Healing Journey"
"4844","Sacrifice","Provoke the Pack"
"4845","Big Bad Voodoo","Slam Dance"
"4846","Fetish Army","Legion of Daggers"
"4847","Spirit Vessel","Passive"
"4848","Gruesome Feast","Passive"
"4849","Fetish Sycophants","Passive"
"4850","Pierce the Veil","Passive"
"4851","Plague of Toads","Rain of Toads"
"4852","Piranhas","Frozen Piranhas"
"4853","Spirit Walk","Jaunt"
"4854","Fetish Army","Legion of Daggers"
"4855","Summon Zombie Dogs","Life Link"
"4856","Big Bad Voodoo","Slam Dance"
"4857","Jungle Fortitude","Passive"
"4858","Fetish Sycophants","Passive"
"4859","Pierce the Veil","Passive"
"4860","Spirit Vessel","Passive"
"4861","Piranhas","Piranhado"
"4862","Big Bad Voodoo","Slam Dance"
"4863","Mass Confusion","Paranoia"
"4864","Fetish Army","Legion of Daggers"
"4865","Spirit Walk","Jaunt"
"4866","Horrify","Face of Death"
"4867","Spirit Vessel","Passive"
"4868","Jungle Fortitude","Passive"
"4869","Grave Injustice","Passive"
"4870","Tribal Rites","Passive"
"4871","Piranhas","Piranhado"
"4872","Plague of Toads","Rain of Toads"
"4873","Spirit Walk","Jaunt"
"4874","Fetish Army","Legion of Daggers"
"4875","Big Bad Voodoo","Slam Dance"
"4876","Summon Zombie Dogs","Leeching Beasts"
"4877","Fierce Loyalty","Passive"
"4878","Grave Injustice","Passive"
"4879","Fetish Sycophants","Passive"
"4880","Pierce the Veil","Passive"
"4881","Plague of Toads","Rain of Toads"
"4882","Spirit Walk","Jaunt"
"4883","Piranhas","Frozen Piranhas"
"4884","Fetish Army","Legion of Daggers"
"4885","Big Bad Voodoo","Slam Dance"
"4886","Summon Zombie Dogs","Leeching Beasts"
"4887","Pierce the Veil","Passive"
"4888","Midnight Feast","Passive"
"4889","Zombie Handler","Passive"
"4890","Fierce Loyalty","Passive"
"4891","Piranhas","Frozen Piranhas"
"4892","Corpse Spiders","Medusa Spiders"
"4893","Fetish Army","Tiki Torchers"
"4894","Spirit Walk","Jaunt"
"4895","Big Bad Voodoo","Slam Dance"
"4896","Summon Zombie Dogs","Burning Dogs"
"4897","Pierce the Veil","Passive"
"4898","Tribal Rites","Passive"
"4899","Fetish Sycophants","Passive"
"4900","Midnight Feast","Passive"
