"","Spell","Rune"
"102","Furious Charge","Battering Ram"
"103","Call of the Ancients","The Council Rises"
"104","Leap","Death from Above"
"105","Battle Rage","Bloodshed"
"106","War Cry","Impunity"
"107","Tough as Nails","Passive"
"108","Superstition","Passive"
"109","Relentless","Passive"
"110","Berserker Rage","Passive"
"111","Whirlwind","Volcanic Eruption"
"112","Ignore Pain","Iron Hide"
"113","War Cry","Impunity"
"114","Battle Rage","Bloodshed"
"115","Wrath of the Berserker","Insanity"
"116","Call of the Ancients","The Council Rises"
"117","Superstition","Passive"
"118","Unforgiving","Passive"
"119","Inspiring Presence","Passive"
"120","Relentless","Passive"
"121","Frenzy","Maniac"
"122","Furious Charge","Stamina"
"123","War Cry","Impunity"
"124","Battle Rage","Bloodshed"
"125","Wrath of the Berserker","Insanity"
"126","Call of the Ancients","Together as One"
"127","Superstition","Passive"
"128","Inspiring Presence","Passive"
"129","Ruthless","Passive"
"130","Berserker Rage","Passive"
"131","Frenzy","Maniac"
"132","Furious Charge","Cold Rush"
"133","Wrath of the Berserker","Striding Giant"
"134","Call of the Ancients","Together as One"
"135","War Cry","Impunity"
"136","Battle Rage","Bloodshed"
"137","Ruthless","Passive"
"138","Berserker Rage","Passive"
"139","Boon of Bul-Kathos","Passive"
"140","Rampage","Passive"
"141","Call of the Ancients","Together as One"
"142","Whirlwind","Wind Shear"
"143","Threatening Shout","Grim Harvest"
"144","Overpower","Killing Spree"
"145","War Cry","Impunity"
"146","Battle Rage","Bloodshed"
"147","Inspiring Presence","Passive"
"148","Rampage","Passive"
"149","Berserker Rage","Passive"
"150","Weapons Master","Passive"
"151","Frenzy","Maniac"
"152","Battle Rage","Into the Fray"
"153","Furious Charge","Merciless Assault"
"154","Call of the Ancients","Together as One"
"155","War Cry","Impunity"
"156","Wrath of the Berserker","Insanity"
"157","Berserker Rage","Passive"
"158","Nerves of Steel","Passive"
"159","Inspiring Presence","Passive"
"160","Tough as Nails","Passive"
"161","Call of the Ancients","The Council Rises"
"162","Furious Charge","Battering Ram"
"163","Wrath of the Berserker","Striding Giant"
"164","Ignore Pain","Iron Hide"
"165","Battle Rage","Bloodshed"
"166","War Cry","Impunity"
"167","Superstition","Passive"
"168","Rampage","Passive"
"169","Berserker Rage","Passive"
"170","Relentless","Passive"
"171",NA,NA
"172",NA,NA
"173",NA,NA
"174",NA,NA
"175",NA,NA
"176",NA,NA
"177",NA,NA
"178",NA,NA
"179",NA,NA
"180",NA,NA
"181","Furious Charge","Stamina"
"182","Whirlwind","Volcanic Eruption"
"183","Call of the Ancients","The Council Rises"
"184","Battle Rage","Marauder's Rage"
"185","War Cry","Impunity"
