"","Spell","Rune"
"1883","Spirit Walk","Jaunt"
"1884","Haunt","Poisoned Spirit"
"1885","Big Bad Voodoo","Slam Dance"
"1886","Fetish Army","Legion of Daggers"
"1887","Gruesome Feast","Passive"
"1888","Grave Injustice","Passive"
"1889","Spirit Vessel","Passive"
"1890","Pierce the Veil","Passive"
"1891","Fetish Army","Head Hunters"
"1892","Piranhas","Piranhado"
"1893","Big Bad Voodoo","Slam Dance"
"1894","Horrify","Face of Death"
"1895","Spirit Walk","Jaunt"
"1896","Haunt","Poisoned Spirit"
"1897","Tribal Rites","Passive"
"1898","Creeping Death","Passive"
"1899","Spirit Vessel","Passive"
"1900","Jungle Fortitude","Passive"
"1901","Poison Dart","Snake to the Face"
"1902","Big Bad Voodoo","Slam Dance"
"1903","Spirit Walk","Jaunt"
"1904","Wall of Zombies","Wrecking Crew"
"1905","Piranhas","Piranhado"
"1906","Fetish Army","Head Hunters"
"1907","Pierce the Veil","Passive"
"1908","Fetish Sycophants","Passive"
"1909","Grave Injustice","Passive"
"1910","Tribal Rites","Passive"
"1911","Haunt","Poisoned Spirit"
"1912","Horrify","Stalker"
"1913","Locust Swarm","Pestilence"
"1914","Soul Harvest","Siphon"
"1915","Piranhas","Piranhado"
"1916","Spirit Walk","Jaunt"
"1917","Pierce the Veil","Passive"
"1918","Spirit Vessel","Passive"
"1919","Gruesome Feast","Passive"
"1920","Creeping Death","Passive"
"1921","Mass Confusion","Paranoia"
"1922","Horrify","Face of Death"
"1923","Spirit Walk","Honored Guest"
"1924","Piranhas","Piranhado"
"1925","Fetish Army","Legion of Daggers"
"1926","Big Bad Voodoo","Slam Dance"
"1927","Grave Injustice","Passive"
"1928","Creeping Death","Passive"
"1929","Bad Medicine","Passive"
"1930","Spirit Vessel","Passive"
"1931","Sacrifice","Provoke the Pack"
"1932","Plague of Toads","Rain of Toads"
"1933","Horrify","Face of Death"
"1934","Spirit Walk","Jaunt"
"1935","Fetish Army","Legion of Daggers"
"1936","Big Bad Voodoo","Slam Dance"
"1937","Grave Injustice","Passive"
"1938","Zombie Handler","Passive"
"1939","Spirit Vessel","Passive"
"1940","Pierce the Veil","Passive"
"1941","Haunt","Poisoned Spirit"
"1942","Locust Swarm","Pestilence"
"1943","Spirit Walk","Jaunt"
"1944","Soul Harvest","Vengeful Spirit"
"1945","Horrify","Stalker"
"1946","Piranhas","Piranhado"
"1947","Creeping Death","Passive"
"1948","Spirit Vessel","Passive"
"1949","Grave Injustice","Passive"
"1950","Pierce the Veil","Passive"
"1951","Haunt","Resentful Spirits"
"1952","Hex","Angry Chicken"
"1953","Spirit Walk","Jaunt"
"1954","Soul Harvest","Vengeful Spirit"
"1955","Piranhas","Piranhado"
"1956","Horrify","Stalker"
"1957","Spirit Vessel","Passive"
"1958","Creeping Death","Passive"
"1959","Grave Injustice","Passive"
"1960","Gruesome Feast","Passive"
"1961","Piranhas","Piranhado"
"1962","Plague of Toads","Rain of Toads"
"1963","Spirit Walk","Jaunt"
"1964","Horrify","Face of Death"
"1965","Big Bad Voodoo","Slam Dance"
"1966","Haunt","Poisoned Spirit"
"1967","Creeping Death","Passive"
"1968","Tribal Rites","Passive"
"1969","Grave Injustice","Passive"
"1970","Spirit Vessel","Passive"
"1971","Haunt","Resentful Spirits"
"1972","Spirit Walk","Jaunt"
"1973","Soul Harvest","Siphon"
"1974","Horrify","Frightening Aspect"
"1975","Locust Swarm","Pestilence"
"1976","Piranhas","Piranhado"
"1977","Grave Injustice","Passive"
"1978","Creeping Death","Passive"
"1979","Spirit Vessel","Passive"
"1980","Pierce the Veil","Passive"
"1981","Piranhas","Frozen Piranhas"
"1982","Gargantuan","Wrathful Protector"
"1983","Fetish Army","Tiki Torchers"
"1984","Spirit Walk","Jaunt"
